"All Users","Gomez Suppression 072711","SharesPost","411","PRWeb_Suppression_0124","VocusSuppressionList","PRWEB Suppression List 11/1/11","Business Insider Select","Compuware Final March 27","EXAMPLE","GroundLink Send to List 2-9-12","10 Things In Tech You Need To Know","SAI Chart Of The Day","SAI Select","Compuware Suppression 11212011","Gomez_Suppression_090111","Compuware Master Suppression List 212","Compuware Master Suppression List 212 New","Compuware Suppression 012012","Compuware Suppression List 2-12","Compuware Supression - 1219","Compuware Supression March 2012","Compuware -2/1 Suppression"
1718649,369786,75211,101082,238733,196335,982770,44894,101071,64493,100776,35712,50622,55166,221817,216351,222958,222958,220027,222958,221807,223808,36658
369786,371928,530,572,7804,6503,7961,204,571,225,559,178,379,445,195394,190594,196120,196120,193375,196120,195403,196791,198
75211,530,102477,51068,21405,794,2406,28994,51062,396,50876,20671,29536,29587,526,374,591,591,577,591,533,608,20031
101082,572,51068,242124,75348,947,2946,54692,241038,1057,211383,44438,50208,48282,544,378,619,619,600,619,545,655,78936
238733,7804,21405,75348,426820,209736,237129,17540,75344,16918,75295,15310,18731,16432,7766,6837,8213,8213,7906,8213,7772,8402,0
196335,6503,794,947,209736,260440,214337,409,944,16494,911,334,577,629,6457,5838,6766,6766,6560,6766,6459,6884,80
982770,7961,2406,2946,237129,214337,1153667,1399,2943,35220,2851,1111,1775,1847,7999,7047,8421,8421,8160,8421,8003,8627,803
44894,204,28994,54692,17540,409,1399,74346,54482,700,50558,38192,29195,31076,232,153,264,264,262,264,233,283,17759
101071,571,51062,241038,75344,944,2943,54482,241038,1057,211382,44288,50099,48179,544,378,619,619,600,619,545,655,78935
64493,225,396,1057,16918,16494,35220,700,1057,64562,1055,539,407,275,213,131,266,266,241,266,212,278,365
100776,559,50876,211383,75295,911,2851,50558,211382,1055,211388,41311,48192,46523,529,369,602,602,585,602,530,634,78937
35712,178,20671,44438,15310,334,1111,38192,44288,539,41311,58390,28727,28378,229,133,265,265,261,265,229,283,15215
50622,379,29536,50208,18731,577,1775,29195,50099,407,48192,28727,65280,54583,369,252,431,431,419,431,370,447,18246
55166,445,29587,48282,16432,629,1847,31076,48179,275,46523,28378,54583,68341,422,306,480,480,466,480,422,494,15950
221817,195394,526,544,7766,6457,7999,232,544,213,529,229,369,422,366120,217256,365538,365538,363622,365538,365953,365538,174
216351,190594,374,378,6837,5838,7047,153,378,131,369,133,252,306,217256,217570,217176,217176,217215,217176,217225,217173,119
222958,196120,591,619,8213,6766,8421,264,619,266,602,265,431,480,365538,217176,412084,412084,376407,412084,365971,412067,205
222958,196120,591,619,8213,6766,8421,264,619,266,602,265,431,480,365538,217176,412084,412086,376407,412084,365971,412069,205
220027,193375,577,600,7906,6560,8160,262,600,241,585,261,419,466,363622,217215,376407,376407,378382,376407,364055,376422,202
222958,196120,591,619,8213,6766,8421,264,619,266,602,265,431,480,365538,217176,412084,412084,376407,412084,365971,412067,205
221807,195403,533,545,7772,6459,8003,233,545,212,530,229,370,422,365953,217225,365971,365971,364055,365971,366412,365969,174
223808,196791,608,655,8402,6884,8627,283,655,278,634,283,447,494,365538,217173,412067,412069,376422,412067,365969,416927,224
36658,198,20031,78936,0,80,803,17759,78935,365,78937,15215,18246,15950,174,119,205,205,202,205,174,224,78954
